영업상태명,영업상태코드,상세영업상태명,폐업일자,지번주소,도로명주소,사업장명,업태구분명,좌표정보(X),좌표정보(Y)
영업/정상,1,영업,,서울특별시 용산구 한남동 96-4번지 (지상1층) ,서울특별시 용산구 독서당로 38 (한남동),또또와식당,분식,,
폐업,3,폐업,2010-08-20,서울특별시 용산구 청파동2가 53-0번지 (지상1층) ,,종로김밥,분식,196874.457628785,449227.875133061
폐업,3,폐업,2001-12-19,서울특별시 용산구 이태원동 274-3번지 ,,소양강,한식,198904.153732462,448532.743776153
폐업,3,폐업,2007-08-01,서울특별시 용산구 효창동 243-3번지 (지상1층) ,,용마식당,한식,196436.197948841,448584.449519784
폐업,3,폐업,2000-06-20,서울특별시 용산구 이태원동 5-7번지 ,,우성갈비점,한식,199441.644528856,448707.378838218
폐업,3,폐업,2001-03-08,서울특별시 용산구 이태원동 5-2번지 ,,상도,한식,199498.054130095,448703.12050184
폐업,3,폐업,2000-05-25,서울특별시 용산구 이태원동 36-23번지 ,,영남식당,한식,199195.235679324,447633.288669265
폐업,3,폐업,2009-04-30,서울특별시 용산구 한남동 736-19번지 (지상2층) ,,바닷속횟집,한식,199663.594247016,448016.075783784
폐업,3,폐업,2001-07-10,서울특별시 용산구 청파동3가 21-1번지 ,,숙대갈비,한식,197272.553808311,449187.214302669
폐업,3,폐업,2001-11-05,서울특별시 용산구 한남동 737-23번지 2층 ,,백향,일식,199785.378293266,448149.82760391
폐업,3,폐업,2008-08-26,서울특별시 용산구 청파동3가 111-58번지 (지상2층) ,,인디고,경양식,197009.139555835,449155.387058348
폐업,3,폐업,2005-08-25,서울특별시 용산구 한남동 634-1번지 ,,크라겐바,한식,200474.642401344,447910.493993112
폐업,3,폐업,2001-11-08,서울특별시 용산구 후암동 232-3번지 ,,까망,경양식,197976.156827458,449451.783904578
폐업,3,폐업,2009-05-11,서울특별시 용산구 이태원동 5-3번지 (지상1층) ,,누나네집,한식,199485.528467419,448695.591326155
폐업,3,폐업,2008-06-19,서울특별시 용산구 한남동 31-13번지 (지상1층) ,,마이하우스,분식,200770.256534709,448074.56339501
폐업,3,폐업,2001-12-28,서울특별시 용산구 이태원동 34-41번지 ,,싸리집,한식,198984.408225887,447917.551684009
폐업,3,폐업,2005-09-15,서울특별시 용산구 한남동 102-3번지 ,,오렌지치킨,한식,200587.451069913,447677.748077909
폐업,3,폐업,2013-08-28,서울특별시 용산구 한남동 726-162번지 (지상1.2층) ,,고인돌,한식,200227.605775761,448888.288681311
